 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;;Pole powierzchni obszaru pom. [mm2];Powierzchnia porów;Porowatość [%];Średnia powierzchnia wady [mm2];odch. Stand. Średniej pow. Wady [mm2];Największa wada [mm2];Maks. Średnica fereta [mm];Średnia śr. Fereta [mm];Odch. Stand. Średniej średnicy Fereta [mm];Średnie podobieństwo do okręgu
1;98.48;0.785;14.039;0.511;0.47;136.029;9.747;1.037;0.965;1;;98.48;0,0000;#ARG!;#DZIEL/0!;#DZIEL/0!;0,00E+00;0;#DZIEL/0!;#DZIEL/0!;1
2;0.015;0.505;0.198;3.682;0.475;132.039;0.139;1.372;0.729;0.842;;;;;;;;;;;
3;0.00002323;1;0.007;4.361;0.472;135;0.005;1;1;1;;;;;;;;;;;
4;0.00004645;1;0.012;7.154;0.487;36.87;0.007;1.939;0.516;0.842;;;;;;;;;;;
5;0.00009871;0.609;0.019;8.829;0.48;150.255;0.011;2.154;0.464;0.667;;;;;;;;;;;
6;0.000389;0.692;0.035;1.017;0.518;33.69;0.017;2.248;0.445;0.848;;;;;;;;;;;
7;0.00001742;1;0.007;7.096;0.496;135;0.005;1.464;0.683;0.857;;;;;;;;;;;
8;0.00002323;1;0.007;wrz.88;0.501;135;0.005;1;1;1;;;;;;;;;;;
9;0.00002323;1;0.007;1.053;0.516;135;0.005;1;1;1;;;;;;;;;;;
10;0.00002323;1;0.007;10.048;0.52;135;0.005;1;1;1;;;;;;;;;;;
11;0.0002613;0.372;0.043;6.176;0.564;73.61;0.011;5.119;0.195;0.709;;;;;;;;;;;
12;0.0004819;0.9;0.031;2.571;0.53;128.66;0.023;1.314;0.761;0.883;;;;;;;;;;;
13;0.0002148;0.577;0.03;10.106;0.545;14.036;0.013;lut.62;0.382;0.755;;;;;;;;;;;
14;0.00001742;1;0.007;1.569;0.554;45;0.005;1.464;0.683;0.857;;;;;;;"file_opened = pd.read_csv(filepath, sep="";"")";;;;
15;0.0001277;0.988;0.015;8.053;0.549;128.66;0.012;1.089;0.918;0.863;;;;;;;;;;;
16;0.00001161;1;0.005;7.619;0.559;116.565;0.002;2;0.5;1;;;;;;;;;;;
17;0.00004064;0.564;0.014;8.928;0.573;120.964;0.006;2.821;0.354;0.7;;;;;;;;;;;
18;0.0008942;0.663;0.055;7.588;0.602;15.255;0.023;2.556;0.391;0.917;;;;;;;;;;;
19;0.00002323;1;0.007;8.099;0.619;135;0.005;1;1;1;;;;;;;;;;;
20;0.0001858;0.645;0.026;3.851;0.629;158.199;0.012;2.019;0.495;0.81;;;;;;;;;;;
21;0.00001161;1;0.005;7.957;0.634;116.565;0.002;2;0.5;1;;;;;;;;;;;
22;0.0004819;0.782;0.032;8.494;0.641;171.254;0.025;sty.28;0.781;0.843;;;;;;;;;;;
23;0.00003484;1;0.009;7.571;0.646;33.69;0.007;1.291;0.775;0.8;;;;;;;;;;;
24;0.00004064;0.8;0.012;0.523;0.658;36.87;0.007;2.041;0.49;0.778;;;;;;;;;;;
25;0.0001858;0.725;0.025;3.157;0.66;168.69;0.012;2.313;0.432;0.81;;;;;;;;;;;
26;0.0001277;0.582;0.026;9.778;0.66;138.814;0.009;3.618;0.276;0.772;;;;;;;;;;;
27;0.00004645;0.82;0.012;3.966;0.667;168.69;0.005;2.232;0.448;0.889;;;;;;;;;;;
28;0.00004064;0.898;0.01;3.451;0.682;165.964;0.007;1.387;0.721;0.737;;;;;;;;;;;
29;0.0005052;0.462;0.049;3.586;0.711;lis.31;0.019;2.992;0.334;0.78;;;;;;;;;;;
30;0.00002903;1;0.009;1.292;0.711;33.69;0.005;1.553;0.644;0.909;;;;;;;;;;;
31;0.0001858;0.599;0.028;6.908;0.718;19.983;0.01;2.968;0.337;0.889;;;;;;;;;;;
32;0.00004645;0.645;0.014;02.cze;0.73;30.964;0.006;3.102;0.322;0.696;;;;;;;;;;;
33;0.001;0.833;0.056;5.446;0.749;7.431;0.036;1.527;0.655;0.92;;;;;;;;;;;
34;0.0002845;0.943;0.022;0.959;0.754;40.601;0.019;01.lip;0.935;0.891;;;;;;;;;;;
35;0.001;0.623;0.07;2.549;0.776;30.964;0.032;2.004;0.499;0.863;;;;;;;;;;;
36;0.0001103;0.796;0.018;1.349;0.764;66.801;0.01;1.832;0.546;0.826;;;;;;;;;;;
37;0.00004064;1;0.011;2.624;0.761;26.565;0.005;1.936;0.517;0.933;;;;;;;;;;;
38;0.0009929;0.645;0.058;lip.19;0.819;82.875;0.027;2.365;0.423;0.879;;;;;;;;;;;
39;0.00008129;1;0.014;9.875;0.769;149.036;0.007;1.662;0.602;0.966;;;;;;;;;;;
40;0.0002671;0.795;0.029;1.347;0.793;41.634;0.015;2.015;0.496;0.876;;;;;;;;;;;
41;0.0004819;0.643;0.034;1.014;0.79;21.038;0.024;1.548;0.646;0.822;;;;;;;;;;;
42;0.00003484;1;0.009;9.723;0.781;146.31;0.005;01.maj;0.667;1;;;;;;;;;;;
43;0.0002613;0.505;0.035;5.251;0.786;155.225;0.018;2.587;0.387;0.652;;;;;;;;;;;
44;0.00002903;0.873;0.009;0.627;0.798;33.69;0.006;1.496;0.668;0.714;;;;;;;;;;;
45;0.00004645;1;0.01;10.313;0.79;135;0.007;1.229;0.814;0.941;;;;;;;;;;;
46;0.00018;0.937;0.021;8.005;0.798;125.538;0.014;1.651;0.606;0.838;;;;;;;;;;;
47;0.0004703;0.316;0.057;cze.92;0.867;56.976;0.018;5.098;0.196;0.555;;;;;;;;;;;
48;0.000151;0.932;0.018;0.978;0.863;23.199;0.012;01.maj;0.667;0.867;;;;;;;;;;;
49;0.0002439;0.496;0.029;1.692;0.87;9.462;0.018;1.788;0.559;0.689;;;;;;;;;;;
50;0.00002323;0.857;0.008;9.783;0.855;108.435;0.005;1.468;0.681;0.8;;;;;;;;;;;
51;0.0005516;0.79;0.037;9.865;0.887;23.199;0.025;1.617;0.618;0.864;;;;;;;;;;;
52;0.00001161;1;0.005;9.776;0.865;153.435;0.002;2;0.5;1;;;;;;;;;;;
53;0.00001742;1;0.007;10.359;0.87;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
54;0.0008884;0.589;0.059;7.036;0.918;11.768;0.024;2.643;0.378;0.85;;;;;;;;;;;
55;0.00004645;0.82;0.012;5.487;0.906;36.87;0.007;1.767;0.566;0.842;;;;;;;;;;;
56;0.00002323;0.857;0.009;6.824;0.904;123.69;0.005;2;0.5;0.8;;;;;;;;;;;
57;0.00004645;1;0.011;08.lut;0.928;153.435;0.005;2;0.5;1;;;;;;;;;;;
58;0.0001568;0.79;0.022;5.692;0.954;63.435;0.011;2.102;0.476;0.857;;;;;;;;;;;
59;0.0002497;0.403;0.036;5.916;0.942;143.13;0.014;3.093;0.323;0.614;;;;;;;;;;;
60;0.0003832;0.791;0.03;5.961;0.961;14.036;0.017;1.587;0.63;0.898;;;;;;;;;;;
61;0.001;0.303;0.084;10.145;0.949;156.371;0.026;4.661;0.215;0.612;;;;;;;;;;;
62;0.0006852;0.82;0.041;9.101;0.949;118.072;0.024;1.701;0.588;0.891;;;;;;;;;;;
63;0.0007722;0.408;0.07;6.935;01.sty;165.964;0.02;4.414;0.227;0.773;;;;;;;;;;;
64;0.00006387;0.853;0.015;2.352;1.017;141.34;0.009;2.254;0.444;0.759;;;;;;;;;;;
65;0.00001161;1;0.005;2.347;1.029;153.435;0.002;2;0.5;1;;;;;;;;;;;
66;0.0001277;0.498;0.025;2.359;1.031;163.301;0.01;2.851;0.351;0.677;;;;;;;;;;;
67;0.00002323;0.857;0.008;2.545;1.034;108.435;0.005;1.468;0.681;0.8;;;;;;;;;;;
68;0.00007548;0.846;0.016;2.417;1.048;153.435;0.007;2.621;0.381;0.839;;;;;;;;;;;
69;0.00002903;1;0.009;2.443;1.053;33.69;0.005;1.553;0.644;0.909;;;;;;;;;;;
70;0.00005806;0.736;0.015;2.557;1.055;18.435;0.005;2.795;0.358;0.909;;;;;;;;;;;
71;0.0003658;0.647;0.037;09.cze;1.077;168.69;0.014;2.493;0.401;0.851;;;;;;;;;;;
72;0.0000871;1;0.013;7.834;1.082;158.199;0.01;1.295;0.772;0.857;;;;;;;;;;;
73;0.00001742;1;0.007;8.776;1.096;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
74;0.0003077;0.684;0.028;8.255;1.101;109.983;0.021;1.416;0.706;0.797;;;;;;;;;;;
75;0.0003948;0.689;0.039;6.677;1.128;21.801;0.016;2.563;0.39;0.877;;;;;;;;;;;
76;0.00001742;1;0.007;7.894;1.145;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
77;0.0001161;0.838;0.019;4.043;1.154;150.255;0.009;2.379;0.42;0.851;;;;;;;;;;;
78;0.0000929;0.652;0.018;1.523;1.181;23.199;0.009;2.367;0.423;0.762;;;;;;;;;;;
79;0.00001742;1;0.007;7.313;1.205;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
80;0.0001161;0.838;0.017;0.622;1.207;146.31;0.012;1.585;0.631;0.851;;;;;;;;;;;
81;0.00003484;1;0.009;3.619;sty.21;33.69;0.007;1.291;0.775;0.8;;;;;;;;;;;
82;0.00001742;1;0.007;6.899;1.219;135;0.005;1.464;0.683;0.857;;;;;;;;;;;
83;0.004;0.677;0.099;0.634;1.287;34.077;0.066;1.406;0.711;0.867;;;;;;;;;;;
84;0.00006387;0.715;0.015;8.294;1.239;161.565;0.007;2.264;0.442;0.786;;;;;;;;;;;
85;0.00002903;1;0.009;5.012;1.246;56.31;0.005;1.553;0.644;0.909;;;;;;;;;;;
86;0.00007548;0.779;0.016;6.304;1.258;63.435;0.007;2.583;0.387;0.839;;;;;;;;;;;
87;0.0002845;0.885;0.027;4.075;1.258;142.125;0.017;sty.79;0.559;0.883;;;;;;;;;;;
88;0.00001161;1;0.005;7.773;1.258;153.435;0.002;2;0.5;1;;;;;;;;;;;
89;0.002;0.7;0.073;10.419;1.284;7.595;0.049;sty.37;0.73;0.886;;;;;;;;;;;
90;0.003;0.315;0.13;4.663;1.277;175.764;0.059;2.155;0.464;0.645;;;;;;;;;;;
91;0.0001452;0.954;0.019;6.472;1.292;150.255;0.012;1.554;0.643;0.862;;;;;;;;;;;
92;0.00001742;0.967;0.008;4.776;1.308;161.565;0.002;3;0.333;1;;;;;;;;;;;
93;0.00005226;0.832;0.013;4.824;1.311;111.801;0.005;2.386;0.419;0.947;;;;;;;;;;;
94;0.00001161;0.785;0.007;10.094;sty.32;45;0.003;2.646;0.378;0.667;;;;;;;;;;;
95;0.00003484;0.769;0.012;5.101;sty.33;36.87;0.006;2.166;0.462;0.706;;;;;;;;;;;
96;0.002;0.319;0.074;9.465;1.373;35.754;0.045;1.802;0.555;0.721;;;;;;;;;;;
97;0.00001742;1;0.007;0.728;1.337;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
98;0.0008419;0.763;0.048;mar.13;1.361;26.565;0.029;1.598;0.626;0.887;;;;;;;;;;;
99;0.008;0.568;0.167;5.128;1.357;162.35;0.072;2.299;0.435;0.893;;;;;;;;;;;
100;0.001;0.714;0.054;5.067;1.378;169.695;0.031;1.919;0.521;0.875;;;;;;;;;;;
101;0.0001394;0.809;0.019;5.354;1.376;29.745;0.011;1.899;0.527;0.828;;;;;;;;;;;
102;0.00002323;0.857;0.008;9.441;sty.39;108.435;0.005;1.468;0.681;0.8;;;;;;;;;;;
103;0.00001161;1;0.005;0.639;1.402;153.435;0.002;2;0.5;1;;;;;;;;;;;
104;0.004;0.615;0.108;9.398;1.414;163.179;0.053;2.219;0.451;0.885;;;;;;;;;;;
105;0.00001161;0.785;0.007;9.501;1.412;135;0.003;2.646;0.378;0.667;;;;;;;;;;;
106;0.00001161;1;0.005;3.429;1.424;153.435;0.002;2;0.5;1;;;;;;;;;;;
107;0.00005806;0.925;0.013;6.786;1.431;158.199;0.005;02.maj;0.4;1;;;;;;;;;;;
108;0.00002903;1;0.009;9.494;1.467;146.31;0.005;1.553;0.644;0.909;;;;;;;;;;;
109;0.00005806;0.806;0.014;9.448;1.472;135;0.008;1.807;0.553;0.769;;;;;;;;;;;
110;0.00004645;1;0.01;8.166;1.475;135;0.007;1.229;0.814;0.941;;;;;;;;;;;
111;0.00002903;1;0.009;1.149;1.513;56.31;0.005;1.553;0.644;0.909;;;;;;;;;;;
112;0.00002903;0.764;0.009;1.284;1.508;123.69;0.007;1.223;0.817;0.714;;;;;;;;;;;
113;0.00004645;1;0.01;6.925;1.547;135;0.007;1.229;0.814;0.941;;;;;;;;;;;
114;0.000209;0.693;0.024;2.034;1.593;36.87;0.017;01.cze;0.625;0.791;;;;;;;;;;;
115;0.0001974;0.258;0.046;1.971;1.588;173.991;0.008;8.942;0.112;0.642;;;;;;;;;;;
116;0.00001161;1;0.005;kwi.46;sty.59;153.435;0.002;2;0.5;1;;;;;;;;;;;
117;0.00006968;0.781;0.015;0.973;1.602;38.66;0.009;2.038;0.491;0.828;;;;;;;;;;;
118;0.001;0.746;0.054;1.945;1.646;63.435;0.031;1.702;0.588;0.906;;;;;;;;;;;
119;0.00009871;0.883;0.017;8.159;1.646;146.31;0.009;lut.19;0.457;0.791;;;;;;;;;;;
120;0.00001161;1;0.005;9.829;1.653;116.565;0.002;2;0.5;1;;;;;;;;;;;
121;0.000209;0.974;0.022;6.537;1.663;167.471;0.012;1.741;0.574;0.911;;;;;;;;;;;
122;0.0001974;0.748;0.026;3.431;1.699;21.801;0.01;2.617;0.382;0.932;;;;;;;;;;;
123;0.001;0.953;0.041;6.629;1.689;125.538;0.034;1.142;0.876;0.943;;;;;;;;;;;
124;0.001;0.821;0.049;10.378;1.711;168.69;0.033;1.396;0.717;0.901;;;;;;;;;;;
125;0.0006793;0.809;0.04;9.576;sty.73;37.569;0.025;1.583;0.632;0.897;;;;;;;;;;;
126;0.0001568;0.73;0.024;8.258;1.728;156.038;0.011;2.405;0.416;0.844;;;;;;;;;;;
127;0.0001742;0.986;0.021;5.002;1.788;144.462;0.014;1.581;0.633;0.882;;;;;;;;;;;
128;0.0001568;1;0.018;9.463;1.802;156.801;0.012;1.475;0.678;0.885;;;;;;;;;;;
129;0.0001045;0.408;0.027;2.708;1.812;153.435;0.008;5.415;0.185;0.61;;;;;;;;;;;
130;0.00003484;0.916;0.01;5.759;1.824;45;0.007;1.593;0.628;0.857;;;;;;;;;;;
131;0.0001452;0.896;0.019;2.282;1.834;129.806;0.012;1.617;0.618;0.862;;;;;;;;;;;
132;0.0002323;0.906;0.024;5.149;1.834;143.13;0.015;1.696;0.59;0.889;;;;;;;;;;;
133;0.0009755;0.765;0.049;0.954;sty.87;lis.31;0.028;1.865;0.536;0.873;;;;;;;;;;;
134;0.0003193;0.823;0.029;1.027;1.872;55.008;0.017;1.868;0.535;0.88;;;;;;;;;;;
135;0.00004064;0.8;0.012;2.607;1.858;36.87;0.006;2.408;0.415;0.737;;;;;;;;;;;
136;0.00004645;1;0.01;1.535;1.896;135;0.007;1.229;0.814;0.941;;;;;;;;;;;
137;0.0000871;1;0.014;01.kwi;1.906;120.964;0.007;1.667;0.6;1;;;;;;;;;;;
138;0.0009348;0.601;0.06;1.655;1.947;165.964;0.022;3.077;0.325;0.885;;;;;;;;;;;
139;0.0006155;0.831;0.039;9.786;1.964;21.801;0.024;1.789;0.559;0.91;;;;;;;;;;;
140;0.0002439;0.713;0.026;7.945;1.954;146.31;0.015;1.866;0.536;0.857;;;;;;;;;;;
141;0.00004064;1;0.01;8.687;1.964;45;0.007;1.596;0.626;0.875;;;;;;;;;;;
142;0.0003542;0.951;0.025;1.282;2.005;119.055;0.022;1.104;0.906;0.91;;;;;;;;;;;
143;0.00005226;0.638;0.015;sty.93;2.029;51.34;0.007;2.645;0.378;0.72;;;;;;;;;;;
144;0.00001161;1;0.005;1.275;2.019;116.565;0.002;2;0.5;1;;;;;;;;;;;
145;0.002;0.387;0.081;1.306;2.104;59.621;0.05;1.731;0.578;0.732;;;;;;;;;;;
146;0.0002032;0.947;0.021;6.186;02.sie;35.538;0.015;1.307;0.765;0.875;;;;;;;;;;;
147;0.0000929;1;0.014;1.284;2.106;30.964;0.01;1.314;0.761;0.914;;;;;;;;;;;
